Country,Year,GDP per capita (US dollars),GDP per capita (US dollars),Emissions (thousand metric tons of carbon dioxide),Emissions per capita (metric tons of carbon dioxide),Region,Income group
"Albania,2005,""2,609"",""2,609"",""3,981"",1.3,Europe & Central Asia,Upper middle income"
"Albania,2010,""4,046"",""4,046"",""4,074"",1.4,Europe & Central Asia,Upper middle income"
"Albania,2015,""3,939"",""3,939"",""3,979"",1.3,Europe & Central Asia,Upper middle income"
"Albania,2019,""5,346"",""5,346"",""4,183"",1.4,Europe & Central Asia,Upper middle income"
"Algeria,2005,""3,113"",""3,113"",""78,045"",2.3,Middle East & North Africa,Lower middle income"
"Algeria,2010,""4,481"",""4,481"",""96,452"",2.7,Middle East & North Africa,Lower middle income"
"Algeria,2015,""4,178"",""4,178"",""131,690"",3.3,Middle East & North Africa,Lower middle income"
"Algeria,2019,""3,976"",""3,976"",""143,586"",3.3,Middle East & North Africa,Lower middle income"
"Angola,2005,""1,902"",""1,902"",""7,510"",0.3,Sub-Saharan Africa,Lower middle income"
"Angola,2010,""3,588"",""3,588"",""15,863"",0.6,Sub-Saharan Africa,Lower middle income"
"Angola,2015,""4,167"",""4,167"",""23,293"",0.8,Sub-Saharan Africa,Lower middle income"
"Angola,2019,""2,810"",""2,810"",""20,597"",0.6,Sub-Saharan Africa,Lower middle income"
"Argentina,2005,""5,158"",""5,158"",""143,245"",3.6,Latin America & Caribbean,Upper middle income"
"Argentina,2010,""10,429"",""10,429"",""164,168"",4.0,Latin America & Caribbean,Upper middle income"
"Argentina,2015,""14,971"",""14,971"",""181,804"",4.2,Latin America & Caribbean,Upper middle income"
"Argentina,2019,""9,947"",""9,947"",""164,315"",3.6,Latin America & Caribbean,Upper middle income"
"Armenia,2005,""1,753"",""1,753"",""4,163"",1.4,Europe & Central Asia,Upper middle income"
"Armenia,2010,""3,432"",""3,432"",""4,118"",1.4,Europe & Central Asia,Upper middle income"
"Armenia,2015,""3,607"",""3,607"",""5,222"",1.7,Europe & Central Asia,Upper middle income"
"Armenia,2019,""4,605"",""4,605"",""5,986"",2.0,Europe & Central Asia,Upper middle income"
"Australia,2005,""37,710"",""37,710"",""369,765"",18.1,East Asia & Pacific,High income"
"Australia,2010,""58,654"",""58,654"",""387,702"",17.4,East Asia & Pacific,High income"
"Australia,2015,""52,131"",""52,131"",""376,842"",15.6,East Asia & Pacific,High income"
"Australia,2019,""54,763"",""54,763"",""385,156"",15.0,East Asia & Pacific,High income"
"Austria,2005,""38,282"",""38,282"",""75,932"",9.1,Europe & Central Asia,High income"
"Austria,2010,""46,599"",""46,599"",""70,090"",8.2,Europe & Central Asia,High income"
"Austria,2015,""43,995"",""43,995"",""63,264"",7.1,Europe & Central Asia,High income"
"Austria,2019,""49,694"",""49,694"",""64,685"",7.1,Europe & Central Asia,High income"
"Azerbaijan,2005,""1,551"",""1,551"",""29,185"",3.5,Europe & Central Asia,Upper middle income"
"Azerbaijan,2010,""5,857"",""5,857"",""23,643"",2.6,Europe & Central Asia,Upper middle income"
"Azerbaijan,2015,""5,516"",""5,516"",""30,797"",3.2,Europe & Central Asia,Upper middle income"
"Azerbaijan,2019,""4,795"",""4,795"",""34,325"",3.4,Europe & Central Asia,Upper middle income"
"Bahrain,2005,""17,959"",""17,959"",""20,641"",23.1,Middle East & North Africa,High income"
"Bahrain,2010,""20,722"",""20,722"",""25,644"",20.6,Middle East & North Africa,High income"
"Bahrain,2015,""22,634"",""22,634"",""30,179"",21.9,Middle East & North Africa,High income"
"Bahrain,2019,""23,443"",""23,443"",""32,733"",19.9,Middle East & North Africa,High income"
"Bangladesh,2005,414,414,""35,116"",0.2,South Asia,Lower middle income"
"Bangladesh,2010,776,776,""53,293"",0.3,South Asia,Lower middle income"
"Bangladesh,2015,""1,245"",""1,245"",""74,394"",0.5,South Asia,Lower middle income"
"Bangladesh,2019,""1,846"",""1,846"",""92,736"",0.5,South Asia,Lower middle income"
"Belarus,2005,""3,266"",""3,266"",""55,755"",5.7,Europe & Central Asia,Upper middle income"
"Belarus,2010,""6,075"",""6,075"",""60,272"",6.3,Europe & Central Asia,Upper middle income"
"Belarus,2015,""5,981"",""5,981"",""53,261"",5.5,Europe & Central Asia,Upper middle income"
